646.5	365.75	1521674388.47
635.0	346.25	1521674388.77
637.0	350.25	1521674388.87
640.5	355.5	1521674388.97
641.75	364.5	1521674389.07
645.5	373.25	1521674389.17
649.0	379.5	1521674389.27
653.25	385.0	1521674389.37
657.75	388.25	1521674389.48
659.75	390.0	1521674389.59
661.25	392.25	1521674389.67
663.75	392.0	1521674389.9
670.0	396.75	1521674390.0
674.5	405.5	1521674390.1
679.5	426.25	1521674390.2
778.0	312.5	1521674392.92
778.0	324.0	1521674393.03
777.0	336.25	1521674393.12
780.25	351.5	1521674393.22
784.25	363.0	1521674393.33
790.0	373.0	1521674393.42
793.25	382.25	1521674393.53
795.25	387.5	1521674393.63
796.5	389.75	1521674393.73
798.5	392.5	1521674393.84
799.75	394.75	1521674393.93
801.5	395.5	1521674394.04
803.0	396.0	1521674394.14
803.75	396.25	1521674394.23
804.5	397.0	1521674394.34
805.0	404.25	1521674394.43
737.0	383.0	1521674406.82
726.25	323.75	1521674407.03
723.0	314.0	1521674407.13
715.75	306.25	1521674407.23
789.25	406.25	1521674408.15
787.25	383.75	1521674408.35
788.5	373.25	1521674408.46
783.25	367.75	1521674408.55
770.0	366.0	1521674408.66
764.75	364.5	1521674408.76
764.5	364.75	1521674408.97
762.5	366.75	1521674409.04
754.25	366.5	1521674409.17
764.5	369.25	1521674409.27
757.5	369.0	1521674409.47
767.75	369.0	1521674409.57
768.25	368.5	1521674409.67
768.75	367.25	1521674409.75
768.75	366.0	1521674409.85
769.25	366.25	1521674409.95
770.0	366.25	1521674410.08
770.75	366.5	1521674410.18
770.75	365.75	1521674410.26
770.5	366.0	1521674410.35
770.75	366.0	1521674410.56
771.25	366.0	1521674410.78
776.75	363.5	1521674411.18
776.0	358.75	1521674411.29
779.25	380.0	1521674411.47
787.5	406.5	1521674411.57
