558.5	464.5	1521674451.94
566.75	444.75	1521674452.04
572.75	427.25	1521674452.14
579.25	407.25	1521674452.23
581.0	390.25	1521674452.34
584.0	386.0	1521674452.44
586.75	388.5	1521674452.52
591.5	388.75	1521674452.64
595.75	390.0	1521674452.74
600.25	395.25	1521674452.84
603.25	400.75	1521674452.93
606.0	404.5	1521674453.03
609.5	412.5	1521674453.13
613.0	424.0	1521674453.24
614.5	429.75	1521674453.33
616.75	432.75	1521674453.43
617.75	435.25	1521674453.55
618.0	438.75	1521674453.65
619.75	444.0	1521674453.75
621.25	448.0	1521674453.85
623.0	451.5	1521674453.95
